enrollment_id,student_name,age,gender,city,course_name,course_category,course_fee,payment_status,completion_status,discount_code,enrollment_month,enrollment_year,referral_source,device_type
ENR1001,Ramesh Kumar,24,,ahemdabad,Network Security Essentials,CYBER SECURITY,₹8499,Failed,Incomplete,ALUMNI20,Jul,2023,Google Search,Desktop
ENR1002,Deepa Solanki,41,FEMALE,Puna,UI/UX Design Essentials,Web Dev,INR 8999,Paid,Completed,,Jan,2024,Facebook Ad,mobile
ENR1003,Nikhil Trivedi,18,F,visakhapatnam,Business Intelligence Reporting,business Anaytics,Rs.6999,Paid,Completed,FLASHSALE,Mar,2023,College Partnership,
ENR1004,Smita Jadhav,42,Female,chandigarh,Multi-Cloud Architecture,Cloud Computing,₹17499,Paid,Completed,,Dec,2024,College Partnership,MOBILE
ENR1005,Ajay Goswami,22,female,Jaipuur,Business Intelligence Reporting,business Anaytics,INR. 6999,Pending,Incomplete,,Oct,2024,Instagram Ad,Tablet
ENR1006,Saritha Mehta,34,Male, Kolkata,Ethical Hacking Bootcamp,CyberSecurity,Rs 13999,Failed,Incomplete,NEW20,Jul,2023,Google Search,Desktop 
ENR1007,Manoj Naik,32,Female,Dilli,Azure Fundamentals,Cloud computing,11499,Paid,Incomplete,ALUMNI20,Sep,2024,YouTube Ad,Mobile
ENR1008,,31,, mumbai,Google Cloud Essentials,cloud computing,Rs. 10999,Failed,Incomplete,FLASHSALE,Sep,2023,Google Search,Mobile
ENR1009,,24,F, Kolkata,Multi-Cloud Architecture,CLOUD COMPUTING,INR 17499,Paid,Incomplete,STUDENT15,Apr,2023,College Partnership,desktop
ENR1186,Kavya Krishnan,37,,Vizag,Deep Learning Essentials,Artificial Intelligence,₹18499,Failed,Incomplete,CORP50,Sep,2024,Google Search,
ENR1011,,41,Male, Coimbatore,SQL Masterclass,Programming,₹4999,Paid,Completed,,Oct,2024,Instagram Ad,desktop
ENR1012,Sandeep Chaudhary,22,Male,surat,ML with Scikit-Learn,Machine Learning,Rs 9499,Failed,Incomplete,,Nov,2023,Instagram Ad,Desktop
ENR1013,Manish Kumar,44,FEMALE,Pune ,NLP with Python,Artificial Intelligence,Rs 15999,Paid,Incomplete,,Dec,2024,Instagram Ad,Desktop 
ENR1242,Ramesh Murthy,22,male,Chandigarh,Business Intelligence Reporting,Business Analytics,Rs.6999,Pending,Incomplete,CORP50,Aug,2023,College Partnership,desktop
ENR1015,Sarika Murthy,38,male,Mumbai ,Multi-Cloud Architecture,cloud compuing,Rs.17499,Paid,Incomplete,REFER10,Apr,2024,Email Campaign,Tablet
